pregunta;entrevista;estado;cita_literal;linea;transcripcion;nota
13;ENTR-04;PREGUNTADA;Ya, el principal problema que nosotros tenemos actualmente es el tema de fruta verde.;31;2026-07-28_ENTR-04_Transcripcion.md;
1;ENTR-05;NO_ABORDADA;;;2026-07-28_ENTR-05_Transcripcion.md;
2;ENTR-05;PREGUNTADA;El administrador.;15;2026-07-28_ENTR-05_Transcripcion.md;Respuesta corta a '¿quién le dice en qué lote o parte le toca trabajar?'.
3;ENTR-05;NO_ABORDADA;;;2026-07-28_ENTR-05_Transcripcion.md;"No se formuló; solo se pregunta por reingreso o carencia en la guía A.2."
4;ENTR-05;PARCIAL;Cuando nosotros la vemos, inmediatamente le decimos a él y él se arregla ya con la ingeniería y todo.;53;2026-07-28_ENTR-05_Transcripcion.md;"Cómo se avisa de una planta enferma; no describe un registro ni su evolución."
5;ENTR-05;NO_ABORDADA;;;2026-07-28_ENTR-05_Transcripcion.md;
6;ENTR-05;PARCIAL;eso se lleva un conteo de las flores, son aparte, el racimo cuando se corta también es aparte, y cuando se chapea, se cuenta por mata, se le da el conteo al encargado;23;2026-07-28_ENTR-05_Transcripcion.md;"Visión del trabajador: entrega el conteo; no dice cómo se verifica."
7;ENTR-05;NO_ABORDADA;;;2026-07-28_ENTR-05_Transcripcion.md;No se formuló ni se abordó el reporte a organismos de control.
8;ENTR-05;NO_ABORDADA;;;2026-07-28_ENTR-05_Transcripcion.md;
9;ENTR-05;NO_ABORDADA;;;2026-07-28_ENTR-05_Transcripcion.md;
10;ENTR-05;PREGUNTADA;Claro, nosotros le decimos, lo van a tener en una libreta hasta el día de quincena que el hombre nos pague.;27;2026-07-28_ENTR-05_Transcripcion.md;
11;ENTR-05;PREGUNTADA;Claro, porque ya sé lo que estoy ganándome y cuánto me sacaría en la quincena.;77;2026-07-28_ENTR-05_Transcripcion.md;
12;ENTR-05;NO_ABORDADA;;;2026-07-28_ENTR-05_Transcripcion.md;
13;ENTR-05;PREGUNTADA;Pues ahorita por el modo de la cosecha, que ahorita está muy difícil por lo que es primera cosecha;49;2026-07-28_ENTR-05_Transcripcion.md;
1;ENTR-06;NO_ABORDADA;;;2026-07-28_ENTR-06_Transcripcion.md;
2;ENTR-06;PREGUNTADA;Lote uno y lote dos.;27;2026-07-28_ENTR-06_Transcripcion.md;El jefe asigna el lote (respuesta 'El jefe.', línea 33, demasiado corta para citar).
3;ENTR-06;NO_ABORDADA;;;2026-07-28_ENTR-06_Transcripcion.md;"No se formuló; solo se pregunta por reingreso o carencia en la guía A.2."
4;ENTR-06;NO_ABORDADA;;;2026-07-28_ENTR-06_Transcripcion.md;
5;ENTR-06;NO_ABORDADA;;;2026-07-28_ENTR-06_Transcripcion.md;
6;ENTR-06;NO_ABORDADA;;;2026-07-28_ENTR-06_Transcripcion.md;
7;ENTR-06;NO_ABORDADA;;;2026-07-28_ENTR-06_Transcripcion.md;No se formuló ni se abordó el reporte a organismos de control.
8;ENTR-06;NO_ABORDADA;;;2026-07-28_ENTR-06_Transcripcion.md;
9;ENTR-06;NO_ABORDADA;;;2026-07-28_ENTR-06_Transcripcion.md;
10;ENTR-06;PREGUNTADA;Sí, la plantación que hizo. Lo hace de un cuadernito.;43;2026-07-28_ENTR-06_Transcripcion.md;
11;ENTR-06;PREGUNTADA;Por ejemplo, que le cuente las plantas. Contar las plantas, todo eso.;67;2026-07-28_ENTR-06_Transcripcion.md;
12;ENTR-06;NO_ABORDADA;;;2026-07-28_ENTR-06_Transcripcion.md;
13;ENTR-06;NO_ABORDADA;;;2026-07-28_ENTR-06_Transcripcion.md;
1;ENTR-07;ESPONTANEA;como las visitas yo las hago dos veces por semana, depende cuando yo llegue allá para poder verificar.;47;2026-07-28_ENTR-07_Transcripcion.md;Frecuencia de las visitas de verificación.
2;ENTR-07;ESPONTANEA;Y para saber qué lote es, eso también me lo proporciona el jefe de campo y también voy con él mismo para revisar.;51;2026-07-28_ENTR-07_Transcripcion.md;
3;ENTR-07;NO_ABORDADA;;;2026-07-28_ENTR-07_Transcripcion.md;"No se formuló; solo se pregunta por reingreso o carencia en la guía A.2."
4;ENTR-07;PREGUNTADA;lo que se hace es tomar una evidencia fotográfica y verificar qué tipo de enfermedad tiene;43;2026-07-28_ENTR-07_Transcripcion.md;"Registro por foto de la planta enferma; no describe evolución."
5;ENTR-07;PARCIAL;todo eso se corrige al momento de revisar.;35;2026-07-28_ENTR-07_Transcripcion.md;Errores en el conteo que se corrigen al revisar.
6;ENTR-07;ESPONTANEA;llego a la finca, localizo al jefe de campo y con él nos vamos a revisar las diferentes labores que se realizan en la finca.;19;2026-07-28_ENTR-07_Transcripcion.md;
7;ENTR-07;NO_ABORDADA;;;2026-07-28_ENTR-07_Transcripcion.md;No se formuló ni se abordó el reporte a organismos de control.
8;ENTR-07;NO_ABORDADA;;;2026-07-28_ENTR-07_Transcripcion.md;
9;ENTR-07;NO_ABORDADA;;;2026-07-28_ENTR-07_Transcripcion.md;
10;ENTR-07;PREGUNTADA;la libreta realmente la lleva al jefe de campo y los reportes nos los envían por medio de whatsapp a los que somos los administradores.;27;2026-07-28_ENTR-07_Transcripcion.md;
11;ENTR-07;PREGUNTADA;Sería interesante que se pudiese guardar los seguimientos con evidencia fotográfica como plantas enfermas, sectores polinizados. E incluso guardar las coordenadas del lugar donde se encontraron las afectaciones o donde se realizaron los trabajos.;71;2026-07-28_ENTR-07_Transcripcion.md;
12;ENTR-07;NO_ABORDADA;;;2026-07-28_ENTR-07_Transcripcion.md;
13;ENTR-07;PREGUNTADA;diría que los seguimientos, que no suelen llegar los reportes lo suficientemente especificados por parte del jefe de campo.;39;2026-07-28_ENTR-07_Transcripcion.md;
1;ENTR-08;NO_ABORDADA;;;2026-07-28_ENTR-08_Transcripcion.md;
2;ENTR-08;NO_ABORDADA;;;2026-07-28_ENTR-08_Transcripcion.md;
3;ENTR-08;NO_ABORDADA;;;2026-07-28_ENTR-08_Transcripcion.md;"No se formuló; solo se pregunta por reingreso o carencia en la guía A.2."
4;ENTR-08;NO_ABORDADA;;;2026-07-28_ENTR-08_Transcripcion.md;
5;ENTR-08;PARCIAL;primero observar bien la la parte basal de la planta para ver si hay desprendimiento.;79;2026-07-28_ENTR-08_Transcripcion.md;"Señal de racimo listo para cortar; no de labor ejecutada."
6;ENTR-08;ESPONTANEA;Entonces nosotros recurrimos a la visita técnica para ver cuál es el problema, si es el grupo de cosecha o el cultivo.;51;2026-07-28_ENTR-08_Transcripcion.md;
7;ENTR-08;NO_ABORDADA;;;2026-07-28_ENTR-08_Transcripcion.md;No se formuló ni se abordó el reporte a organismos de control.
8;ENTR-08;NO_ABORDADA;;;2026-07-28_ENTR-08_Transcripcion.md;
9;ENTR-08;NO_ABORDADA;;;2026-07-28_ENTR-08_Transcripcion.md;
10;ENTR-08;NO_ABORDADA;;;2026-07-28_ENTR-08_Transcripcion.md;
11;ENTR-08;PREGUNTADA;En sí nosotros recomendamos ver este... eh sí que mande bien, por ejemplo en la mañana para ver si la insect- qué tanto insecto hay y para ver también, hacemos monitoreo de insectos.;99;2026-07-28_ENTR-08_Transcripcion.md;Qué mostraría la aplicación de fotos.
12;ENTR-08;PREGUNTADA;En sí sí nos serviría porque en sí bueno nosotros podemos ver el video y nosotros recomendamos y manejamos las aplicaciones la dosis que se debería aplicar durante el cultivo.;95;2026-07-28_ENTR-08_Transcripcion.md;
13;ENTR-08;PREGUNTADA;Lo más básico siempre va a ser la mala selección de frutos: siempre van a cosechar frutos verdes. Ese es el único error que cometen.;71;2026-07-28_ENTR-08_Transcripcion.md;
1;ENTR-09;NO_ABORDADA;;;2026-08-31_ENTR-09_Transcripcion.md;
2;ENTR-09;PREGUNTADA;quien decide qué hace cada persona normalmente va de la mano del administrador de la hacienda, el cual es el encargado de repartir las labores.;19;2026-08-31_ENTR-09_Transcripcion.md;
3;ENTR-09;NO_ABORDADA;;;2026-08-31_ENTR-09_Transcripcion.md;"No se formuló; solo se pregunta por reingreso o carencia en la guía A.2."
4;ENTR-09;NO_ABORDADA;;;2026-08-31_ENTR-09_Transcripcion.md;
5;ENTR-09;NO_ABORDADA;;;2026-08-31_ENTR-09_Transcripcion.md;
6;ENTR-09;PREGUNTADA;Bueno, normalmente se lleva mediante un conteo.;23;2026-08-31_ENTR-09_Transcripcion.md;
7;ENTR-09;NO_ABORDADA;;;2026-08-31_ENTR-09_Transcripcion.md;No se formuló ni se abordó el reporte a organismos de control.
8;ENTR-09;NO_ABORDADA;;;2026-08-31_ENTR-09_Transcripcion.md;
9;ENTR-09;NO_ABORDADA;;;2026-08-31_ENTR-09_Transcripcion.md;
10;ENTR-09;PARCIAL;Normalmente se usa una aplicación, bueno, lo que he podido observar que se llama Avenza Maps, donde se controla el recorrido de cada persona.;31;2026-08-31_ENTR-09_Transcripcion.md;Habla de una aplicación (Avenza Maps), no de papel u hojas de cálculo.
11;ENTR-09;PREGUNTADA;En este caso llevaría un control de recorrido por parte del personal, un control de conteo sobre las labores que se van haciendo;47;2026-08-31_ENTR-09_Transcripcion.md;
12;ENTR-09;PREGUNTADA;Sería una buena ayuda porque hay muchos técnicos.;43;2026-08-31_ENTR-09_Transcripcion.md;
13;ENTR-09;PREGUNTADA;Normalmente, hoy en día, un problema muy grande es la inseguridad.;27;2026-08-31_ENTR-09_Transcripcion.md;
1;ENTR-10;NO_ABORDADA;;;2026-08-31_ENTR-10_Transcripcion.md;
2;ENTR-10;NO_ABORDADA;;;2026-08-31_ENTR-10_Transcripcion.md;
3;ENTR-10;NO_ABORDADA;;;2026-08-31_ENTR-10_Transcripcion.md;"No se formuló; solo se pregunta por reingreso o carencia en la guía A.2."
4;ENTR-10;NO_ABORDADA;;;2026-08-31_ENTR-10_Transcripcion.md;
5;ENTR-10;NO_ABORDADA;;;2026-08-31_ENTR-10_Transcripcion.md;
6;ENTR-10;PREGUNTADA;O sea, que la aplicación, cuando termines el recorrido, te muestra el recorrido que tú hayas tenido ahí, de los lotes y todo eso.;67;2026-08-31_ENTR-10_Transcripcion.md;Pregunta sobre registrar por GPS el recorrido del personal.
7;ENTR-10;NO_ABORDADA;;;2026-08-31_ENTR-10_Transcripcion.md;No se formuló ni se abordó el reporte a organismos de control.
8;ENTR-10;NO_ABORDADA;;;2026-08-31_ENTR-10_Transcripcion.md;
9;ENTR-10;NO_ABORDADA;;;2026-08-31_ENTR-10_Transcripcion.md;
10;ENTR-10;PREGUNTADA;Aplicaciones como WhatsApp.;31;2026-08-31_ENTR-10_Transcripcion.md;Respuesta a '¿papel, memoria o una aplicación?'.
11;ENTR-10;PREGUNTADA;Por ejemplo, el pronóstico, la semana de polinización, puede ser.;51;2026-08-31_ENTR-10_Transcripcion.md;
12;ENTR-10;PARCIAL;Más que todo, la información y fotos.;59;2026-08-31_ENTR-10_Transcripcion.md;"Ante un aviso de posible plaga; no valora un diagnóstico automático."
13;ENTR-10;NO_ABORDADA;;;2026-08-31_ENTR-10_Transcripcion.md;
1;ENTR-11;NO_ABORDADA;;;2026-08-31_ENTR-11_Transcripcion.md;
2;ENTR-11;NO_ABORDADA;;;2026-08-31_ENTR-11_Transcripcion.md;
3;ENTR-11;NO_ABORDADA;;;2026-08-31_ENTR-11_Transcripcion.md;"No se formuló; solo se pregunta por reingreso o carencia en la guía A.2."
4;ENTR-11;NO_ABORDADA;;;2026-08-31_ENTR-11_Transcripcion.md;
5;ENTR-11;NO_ABORDADA;;;2026-08-31_ENTR-11_Transcripcion.md;
6;ENTR-11;PREGUNTADA;La verdad es que me parece muy bien.;87;2026-08-31_ENTR-11_Transcripcion.md;Pregunta sobre registrar por GPS el recorrido del personal.
7;ENTR-11;NO_ABORDADA;;;2026-08-31_ENTR-11_Transcripcion.md;No se formuló ni se abordó el reporte a organismos de control.
8;ENTR-11;NO_ABORDADA;;;2026-08-31_ENTR-11_Transcripcion.md;
9;ENTR-11;NO_ABORDADA;;;2026-08-31_ENTR-11_Transcripcion.md;
10;ENTR-11;PREGUNTADA;"Con una estala, se llevan los datos; día a día se va a organizar.";39;2026-08-31_ENTR-11_Transcripcion.md;Luego confirma que es 'Mediante papel.' (línea 43).
11;ENTR-11;PREGUNTADA;La información, primero la foto y el informe de los correos.;67;2026-08-31_ENTR-11_Transcripcion.md;
12;ENTR-11;PARCIAL;Primero, una imagen donde me compruebe sobre ese problema, y lo segundo sería recurrir al lugar para probar los hechos y poder acudir a resolver el problema.;71;2026-08-31_ENTR-11_Transcripcion.md;"Ante un aviso de posible plaga; pide imagen y comprobar en campo."
13;ENTR-11;NO_ABORDADA;;;2026-08-31_ENTR-11_Transcripcion.md;
1;ENTR-12;NO_ABORDADA;;;2026-08-31_ENTR-12_Transcripcion.md;
2;ENTR-12;PREGUNTADA;primero yo considero que hay que hacer una inspección en la planta y después generar un cronograma de trabajo del día completo.;23;2026-08-31_ENTR-12_Transcripcion.md;
3;ENTR-12;NO_ABORDADA;;;2026-08-31_ENTR-12_Transcripcion.md;"No se formuló; solo se pregunta por reingreso o carencia en la guía A.2."
4;ENTR-12;NO_ABORDADA;;;2026-08-31_ENTR-12_Transcripcion.md;
5;ENTR-12;NO_ABORDADA;;;2026-08-31_ENTR-12_Transcripcion.md;
6;ENTR-12;NO_ABORDADA;;;2026-08-31_ENTR-12_Transcripcion.md;
7;ENTR-12;NO_ABORDADA;;;2026-08-31_ENTR-12_Transcripcion.md;No se formuló ni se abordó el reporte a organismos de control.
8;ENTR-12;NO_ABORDADA;;;2026-08-31_ENTR-12_Transcripcion.md;
9;ENTR-12;NO_ABORDADA;;;2026-08-31_ENTR-12_Transcripcion.md;
10;ENTR-12;PARCIAL;Como muy efectivas. Nos ayudan muchísimo y es una herramienta muy versátil y estratégica para poder determinar los resultados de manera más versátil y mucho más segura, antes que hacerlo al ojo humano, se podría decir.;39;2026-08-31_ENTR-12_Transcripcion.md;Habla de aplicaciones de control en general.
11;ENTR-12;PREGUNTADA;Por ejemplo, el estado de las plantaciones.;63;2026-08-31_ENTR-12_Transcripcion.md;
12;ENTR-12;NO_ABORDADA;;;2026-08-31_ENTR-12_Transcripcion.md;
13;ENTR-12;PREGUNTADA;Bueno, consideraría las enfermedades que frecuentemente enfrenta el cultivo.;31;2026-08-31_ENTR-12_Transcripcion.md;
1;ENTR-13;NO_ABORDADA;;;2026-09-01_ENTR-13_Transcripcion.md;
2;ENTR-13;PREGUNTADA;en una finca pequeña, de poco personal, pues siempre a veces decide el dueño o un encargado.;21;2026-09-01_ENTR-13_Transcripcion.md;
3;ENTR-13;NO_ABORDADA;;;2026-09-01_ENTR-13_Transcripcion.md;"No se formuló; solo se pregunta por reingreso o carencia en la guía A.2."
4;ENTR-13;NO_ABORDADA;;;2026-09-01_ENTR-13_Transcripcion.md;
5;ENTR-13;NO_ABORDADA;;;2026-09-01_ENTR-13_Transcripcion.md;
6;ENTR-13;PREGUNTADA;en las fincas pequeñas, muchos llevan registros empíricos.;25;2026-09-01_ENTR-13_Transcripcion.md;
7;ENTR-13;NO_ABORDADA;;;2026-09-01_ENTR-13_Transcripcion.md;No se formuló ni se abordó el reporte a organismos de control.
8;ENTR-13;PREGUNTADA;Nosotros específicamente tenemos los técnicos de campo y tenemos un departamento de compras que se dedica a visitar proveedores. Y obviamente nosotros ya sabemos, tenemos registrado en nuestra base de datos los periodos de cosecha que ellos tienen.;29;2026-09-01_ENTR-13_Transcripcion.md;Es comprador: programa la cosecha con los proveedores.
9;ENTR-13;PREGUNTADA;el agricultor siempre se fija más en ver cómo está el ambiente, porque el agricultor de abajo, el de a pie, ese no entiende de INAMHI o de los reportes meteorológicos. Ellos no creen en eso. Entonces, la gente siempre se fija más en las condiciones del cielo y eso es lo que la gente ve primero para programar alguna actividad que se tenga en campo.;49;2026-09-01_ENTR-13_Transcripcion.md;
10;ENTR-13;PREGUNTADA;en fincas pequeñas a lo mucho llevan una agenda, una libreta.;55;2026-09-01_ENTR-13_Transcripcion.md;
11;ENTR-13;PREGUNTADA;toda la información de las labores que están pendientes de hacer y las labores que ya se han hecho.;77;2026-09-01_ENTR-13_Transcripcion.md;
12;ENTR-13;PREGUNTADA;La tecnología debe estar ligada actualmente a la agricultura.;73;2026-09-01_ENTR-13_Transcripcion.md;
13;ENTR-13;PREGUNTADA;primeramente, a veces cuando la gente es un poquito incumplida.;39;2026-09-01_ENTR-13_Transcripcion.md;
1;ENTR-14;NO_ABORDADA;;;2026-09-01_ENTR-14_Transcripcion.md;
2;ENTR-14;PREGUNTADA;"hay dos tipos de organizaciones. Hay unas que se hacen escritas con una bitácora; otra, empíricamente, se le dice al trabajador qué es lo que va a realizar en el día de trabajo.";15;2026-09-01_ENTR-14_Transcripcion.md;
3;ENTR-14;NO_ABORDADA;;;2026-09-01_ENTR-14_Transcripcion.md;"No se formuló; solo se pregunta por reingreso o carencia en la guía A.2."
4;ENTR-14;NO_ABORDADA;;;2026-09-01_ENTR-14_Transcripcion.md;
5;ENTR-14;NO_ABORDADA;;;2026-09-01_ENTR-14_Transcripcion.md;
6;ENTR-14;PREGUNTADA;el control se lleva mediante una bitácora. Se hace para la semana un documento firmado por el administrador, donde se indica qué es lo que vamos a hacer esa semana.;19;2026-09-01_ENTR-14_Transcripcion.md;
7;ENTR-14;NO_ABORDADA;;;2026-09-01_ENTR-14_Transcripcion.md;No se formuló ni se abordó el reporte a organismos de control.
8;ENTR-14;NO_ABORDADA;;;2026-09-01_ENTR-14_Transcripcion.md;
9;ENTR-14;NO_ABORDADA;;;2026-09-01_ENTR-14_Transcripcion.md;
10;ENTR-14;ESPONTANEA;esto se hace mediante una bitácora semanal, una semana antes de lo que vamos a hacer la siguiente semana;47;2026-09-01_ENTR-14_Transcripcion.md;"Bitácora semanal (documento firmado); no indica si es en papel o en hoja de cálculo."
11;ENTR-14;PREGUNTADA;Especialmente las labores que vamos a hacer a la semana;47;2026-09-01_ENTR-14_Transcripcion.md;
12;ENTR-14;PREGUNTADA;Parece interesante. El otro día sí me pasaron una información de esa aplicación. Me parecía interesante. Espero que sea precisa también, que sea precisa en qué es lo que necesita la planta. Muy interesante me parece.;43;2026-09-01_ENTR-14_Transcripcion.md;
13;ENTR-14;PREGUNTADA;El problema más común son los productos. Hay que tener en cuenta que el producto llegue a la finca y sea aplicado en su totalidad.;27;2026-09-01_ENTR-14_Transcripcion.md;
1;ENTR-15;NO_ABORDADA;;;2026-09-01_ENTR-15_Transcripcion.md;
2;ENTR-15;PARCIAL;recurriría principalmente a la persona encargada del campo. Sería el jefe de campo, eh podría ser eh el administrador;26;2026-09-01_ENTR-15_Transcripcion.md;"A quién consulta lo que se hizo en un lote; no cómo se planifica."
3;ENTR-15;NO_ABORDADA;;;2026-09-01_ENTR-15_Transcripcion.md;"No se formuló; solo se pregunta por reingreso o carencia en la guía A.2."
4;ENTR-15;NO_ABORDADA;;;2026-09-01_ENTR-15_Transcripcion.md;
5;ENTR-15;NO_ABORDADA;;;2026-09-01_ENTR-15_Transcripcion.md;
6;ENTR-15;PREGUNTADA;creo que no tanto se basaría en el seguimiento del de la de la persona, más se debería enfocar como en los trabajos que se realizó.;42;2026-09-01_ENTR-15_Transcripcion.md;Pregunta sobre registrar por GPS el recorrido del personal.
7;ENTR-15;NO_ABORDADA;;;2026-09-01_ENTR-15_Transcripcion.md;No se formuló ni se abordó el reporte a organismos de control.
8;ENTR-15;NO_ABORDADA;;;2026-09-01_ENTR-15_Transcripcion.md;
9;ENTR-15;NO_ABORDADA;;;2026-09-01_ENTR-15_Transcripcion.md;
10;ENTR-15;PREGUNTADA;Por lo general solo hacen con papel.;14;2026-09-01_ENTR-15_Transcripcion.md;
