id_cegado;nombre;descripcion;actor;entradas_salidas;precondicion_postcondicion;prioridad_moscow;criterio_verificacion
R-011;Registro de calificación de fruta por operarios;Función: a los operarios de pista registrar la calificación de la fruta descargada según los indicadores de calidad de la empresa.;Operarios de pista;Entrada: resultado de la calificación de calidad. Salida: registro de calificación asociado al vehículo/lote.;Precondición: la fruta ha sido descargada en la pista. | Postcondición: la calificación queda registrada para el lote correspondiente.;Must;Verificación: El sistema almacena una calificación de calidad por cada descarga de fruta realizada en pista.
R-012;Verificación de frutos desprendidos según variedad;Función: registrar el número de frutos desprendidos observados y compararlo contra el mínimo exigido según la variedad (3 en guineensis, 5 en híbridos).;Operarios de pista;Entrada: variedad del racimo, número de frutos desprendidos. Salida: indicación de cumplimiento o incumplimiento del criterio de madurez.;Precondición: se conoce la variedad del racimo evaluado. | Postcondición: el sistema indica si el racimo cumple el criterio de madurez.;Must;Verificación: El sistema aplica el umbral correcto (3 o 5 frutos desprendidos) según la variedad indicada.
R-013;Calificación de madurez por frutos desprendidos según la variedad;Función: Calificar la madurez por frutos desprendidos usando un umbral de 3 para guineensis y de 5 para híbridos.;Operario de pista / Técnico de extractora;Entrada: variedad y frutos desprendidos. Salida: indicador de madurez cumplido o no.;Precondición: fruta en descarga y variedad declarada. | Postcondición: madurez asociada a la recepción.;Must;"Verificación: Guineensis cumple con 3 frutos desprendidos y no con 2; híbrido cumple con 5 y no con 4."
R-014;Proyección de recepción frente a la capacidad de las extractoras;Función: Consolidar estimaciones de cosecha por período, compararlas con la capacidad de cada extractora, señalar excedentes y permitir redistribuirlos a plantas con capacidad disponible.;Administración de extractora;Entrada: estimaciones del período y capacidad por planta. Salida: proyección, excedente y propuesta de distribución.;Precondición: existen estimaciones y capacidades por planta. | Postcondición: asignación de fruta registrada por planta.;Should;Verificación: Si una proyección supera la capacidad configurada, mostrar el excedente en toneladas y permitir reasignarlo a otra planta con capacidad disponible.
R-015;Excepción de recepción limitada al día de la capacitación;Función: Registrar una excepción para recibir fruta que incumple indicadores solo en la fecha de capacitación y para el productor participante, impidiendo usarla después.;Técnico de extractora;Entrada: capacitación, productor participante y fecha. Salida: excepción solo para esa fecha y productor.;Precondición: capacitación programada con productor. | Postcondición: excepción vinculada solo a la fecha declarada.;Could;"Verificación: Una excepción del 10 de julio no aplica a una entrega del mismo productor el 11 de julio; esa entrega se procesa como devolución."
R-016;Compartición de la estimación de cosecha con la planta extractora;Función: Exportar a la extractora la estimación de cosecha del período limitada al conteo de racimos y peso promedio estimado, sin datos personales ni económicos.;Técnico de la extractora;Entrada: período y lotes. Salida: archivo con conteo de racimos y peso promedio estimado.;Precondición: estimación calculada. | Postcondición: archivo disponible sin datos personales.;Should;Verificación: El archivo exportado contiene conteo de racimos y peso promedio por período y excluye datos personales y económicos.
R-017;Cálculo automático de peso neto;Función: calcular automáticamente el peso neto de la fruta a partir del peso bruto y el peso tara registrados.;Sistema interno de la empresa;Entrada: peso bruto, peso tara. Salida: peso neto calculado.;Precondición: se registraron el peso bruto y el peso tara. | Postcondición: el peso neto queda calculado y almacenado.;Must;Verificación: El peso neto mostrado equivale siempre a la diferencia entre el peso bruto y el peso tara registrados.
R-018;Envío automático de tiquete por correo electrónico;Función: enviar automáticamente el tiquete por correo electrónico a los productores que tienen registrado un correo.;Sistema interno de la empresa;Entrada: correo electrónico registrado del productor, tiquete emitido. Salida: correo electrónico enviado con el tiquete.;Precondición: el productor tiene un correo electrónico registrado en el sistema. | Postcondición: el tiquete es enviado automáticamente a ese correo.;Should;Verificación: Todo productor con correo registrado recibe automáticamente el tiquete correspondiente a su entrega.
R-019;Captura de datos de procedencia del vehículo;Función: registrar, junto al pesaje, los datos de procedencia: finca de origen, dueño y chofer.;Basculero;Entrada: nombre de finca, nombre de dueño, nombre de chofer. Salida: registro asociado al ticket del vehículo.;Precondición: el vehículo está siendo pesado. | Postcondición: los datos de procedencia quedan vinculados al registro de pesaje.;Must;Verificación: Cada registro de pesaje contiene finca, dueño y chofer capturados por el basculero.
R-020;Emisión de tiquete de pesaje completo;Función: emitir un tiquete que incluya peso bruto, peso tara, peso neto, nombre del productor, finca, transportista, placas del vehículo, y fecha y hora de ingreso.;Sistema interno de la empresa;Entrada: datos de pesaje y de procedencia del vehículo. Salida: tiquete de pesaje con todos los campos indicados.;Precondición: se completó el proceso de pesaje del vehículo. | Postcondición: el tiquete queda generado con todos los datos requeridos.;Must;Verificación: Cada tiquete emitido contiene los ocho campos mencionados sin omisiones.
R-021;Entrega del ticket al productor y envío por correo;Función: Permitir la entrega del ticket al conductor o productor presente y su envío automático por correo cuando exista una dirección registrada, dejando constancia del resultado.;Productor / Técnico de extractora;Entrada: ticket emitido y correo del productor. Salida: constancia de entrega y estado enviado o fallido.;Precondición: ticket emitido. | Postcondición: entrega registrada y, si aplica, estado del correo.;Should;"Verificación: Con correo registrado, enviar el ticket y almacenar el estado; sin correo, conservar solo la entrega física sin generar error."
R-022;Registro de los indicadores de defecto de la entrega;Función: Registrar por entrega los indicadores de fruta verde, sobremadura, malformada y pedúnculos largos.;Técnico de extractora;Entrada: cuatro indicadores de defecto. Salida: calificación asociada a la recepción.;Precondición: carga evaluada. | Postcondición: indicadores disponibles para ticket e histórico.;Should;Verificación: La calificación conserva los cuatro indicadores y permite recuperarlos asociados a la recepción y su fecha.
R-023;Registro de cosecha diaria desde la hacienda;Función: que la hacienda registre, mediante una aplicación móvil, la cosecha realizada cada día.;Hacienda / productor;Entrada: datos de cosecha diaria. Salida: registro de cosecha almacenado en el sistema.;Precondición: la hacienda realizó la cosecha del día. | Postcondición: el registro de cosecha queda disponible en el sistema.;Must;Verificación: Cada día en que la hacienda registra cosecha, el sistema almacena un registro correspondiente.
R-024;Emisión del ticket de pesaje;Función: Emitir un ticket con peso bruto, tara, peso neto, productor, finca, transportista, placa, fecha y hora de ingreso y calificación de la fruta.;Basculero / Técnico de extractora;Entrada: recepción con pesos y calificación. Salida: ticket con nueve campos.;Precondición: peso neto y calificación registrados. | Postcondición: ticket emitido y vinculado a la recepción.;Must;Verificación: El ticket presenta los nueve campos declarados y no puede emitirse sin peso neto o calificación.
R-025;Identificación anticipada de productores con recurrencia de fruta verde;Función: Identificar mediante el histórico a los productores con mayor recurrencia de fruta verde y generar el listado al menos un mes antes del período de baja productividad de julio a octubre.;Técnico de extractora;Entrada: histórico de calificaciones y período de baja productividad. Salida: listado priorizado de productores para intervención anticipada.;Precondición: existen entregas calificadas previas. | Postcondición: listado disponible un mes antes del período configurado.;Should;Verificación: Con julio como inicio del período de baja productividad, generar en junio el listado ordenado por recurrencia de fruta verde.
R-026;Registro de pesaje bruto en báscula;Función: registrar el peso bruto del vehículo al ingresar al centro de acopio, tomado por el basculero.;Basculero;Entrada: peso bruto medido. Salida: registro de peso bruto asociado al vehículo.;Precondición: el vehículo se encuentra sobre la báscula. | Postcondición: el peso bruto queda almacenado en el sistema.;Must;Verificación: El sistema muestra y almacena el peso bruto ingresado por el basculero para cada vehículo recibido.
R-027;Registro de motivo de rechazo de racimos;Función: registrar el motivo específico por el cual un racimo es rechazado (desprendimiento insuficiente, pedúnculo largo, malformación).;Operarios de pista;Entrada: motivo de rechazo seleccionado. Salida: registro de rechazo vinculado al lote.;Precondición: el racimo no cumple los indicadores de calidad establecidos. | Postcondición: el motivo de rechazo queda documentado.;Must;Verificación: Todo racimo marcado como rechazado tiene asociado un motivo de rechazo registrado en el sistema.
R-028;Observación por pedúnculo superior a 5 centímetros;Función: Generar una observación de calidad al productor cuando el pedúnculo medido en la base del racimo supere 5 cm.;Técnico de extractora;Entrada: longitud del pedúnculo. Salida: observación asociada a la recepción y comunicada al productor.;Precondición: evaluación de calidad en curso. | Postcondición: observación incorporada a la calificación.;Should;"Verificación: Con 5,5 cm generar la observación; con 5,0 cm o menos no generarla."
R-029;Registro de la calificación de calidad emitida por la extractora;Función: Registrar del ticket de la extractora peso bruto, tara, peso neto y calificación de calidad: tamaño, fruta verde, sobremadura, malformada y pedúnculo largo.;Administrador general;Entrada: datos del ticket de pesaje. Salida: entrega asociada a lote, fecha y calificación.;Precondición: despacho registrado. | Postcondición: calificación asociada al lote y disponible en el histórico.;Should;Verificación: Registrado un ticket, asociar sus valores al lote de origen y permitir consultarlos en el histórico de entregas.
R-030;Programación de visitas de campo y capacitaciones;Función: Programar visitas de campo y capacitaciones para productores identificados, registrando finca, fecha, motivo y participantes, y permitir cerrarlas como realizadas.;Técnico de extractora / Productor;Entrada: productor, finca, fecha, motivo y participantes. Salida: actividad programada con estado.;Precondición: productor identificado. | Postcondición: actividad en agenda y disponible para cierre.;Should;Verificación: Una visita conserva finca, fecha, motivo y participantes y permite separar actividades pendientes de realizadas.
R-031;Histórico de producción por finca;Función: Mantener un histórico por finca con conteo de racimos, peso promedio informado y peso neto recibido, permitiendo comparar períodos sin datos personales del productor.;Técnico de extractora / Administración;Entrada: estimaciones de la finca y pesos netos del período. Salida: serie histórica por finca y variación entre períodos.;Precondición: al menos dos períodos con datos. | Postcondición: serie consultable sin datos personales.;Could;Verificación: Con dos períodos registrados, mostrar por finca conteo de racimos, peso promedio, peso neto y variación entre períodos, sin datos personales.
R-032;Protección de información personal sensible del productor;Función: garantizar que la información sensible y personal del productor no sea compartida con la extractora, conforme a lo indicado por el entrevistado.;Sistema interno de la empresa;Entrada: datos del productor clasificados como sensibles. Salida: exclusión de dichos datos en cualquier reporte compartido con la extractora.;Precondición: existen datos del productor marcados como sensibles. | Postcondición: dichos datos permanecen inaccesibles para la extractora.;Must;Verificación: Ningún reporte o dato compartido con la extractora contiene campos marcados como información personal sensible.
R-033;Registro de porcentaje de malformación;Función: registrar el porcentaje de malformación de un racimo y determinar automáticamente su rechazo cuando supere el 30 %.;Operarios de pista;Entrada: porcentaje de malformación estimado. Salida: decisión de aceptación o rechazo del racimo.;Precondición: el racimo presenta signos de malformación. | Postcondición: el racimo queda marcado como rechazado si supera el umbral.;Must;Verificación: Todo racimo con malformación registrada superior al 30 % queda marcado como rechazado.
R-034;Emisión de tiquete de devolución;Función: generar un tiquete correspondiente cuando un vehículo sale con fruta rechazada.;Basculero;Entrada: datos de pesaje de salida. Salida: tiquete de devolución impreso o generado.;Precondición: el peso de salida fue registrado. | Postcondición: el tiquete de devolución queda emitido.;Must;Verificación: El sistema emite un tiquete cada vez que se registra un peso de salida por devolución.
R-035;Distribución de fruta entre extractoras según capacidad;Función: distribuir la fruta que llega entre las diferentes extractoras de la empresa según su capacidad disponible.;Supervisor de técnicos agrícolas;Entrada: cantidad de fruta entrante, capacidad disponible por extractora. Salida: asignación de fruta a una extractora específica.;Precondición: existe más de una extractora disponible. | Postcondición: la fruta queda asignada a una extractora según su capacidad.;Could;Verificación: El sistema propone o registra una extractora de destino para cada lote de fruta entrante, en función de la capacidad disponible.
R-036;Devolución de la carga rechazada y cierre en báscula;Función: Registrar la devolución de fruta rechazada en el mismo vehículo, exigiendo peso de salida y emisión del tiquete antes de cerrar la recepción.;Basculero / Técnico de extractora;Entrada: recepción rechazada y peso de salida. Salida: recepción devuelta y tiquete emitido.;Precondición: carga rechazada. | Postcondición: devolución cerrada con su tiquete.;Must;Verificación: Una recepción rechazada no puede cerrarse sin registrar el peso de salida y emitir el tiquete de devolución.
R-037;Registro de la guía de remisión del despacho;Función: Registrar número y fecha de la guía de remisión de cada despacho y advertir cuando un despacho se registre sin guía.;Técnico de la extractora;Entrada: número y fecha de guía. Salida: guía asociada al despacho o advertencia.;Precondición: despacho registrado. | Postcondición: guía vinculada al despacho.;Could;Verificación: Un despacho sin número de guía genera una advertencia visible para la administración antes del cierre.
R-038;Registro de peso de salida;Función: registrar el peso de salida del vehículo cuando regresa a báscula tras una devolución de fruta rechazada.;Basculero;Entrada: peso de salida medido. Salida: registro de peso de salida asociado al vehículo.;Precondición: el vehículo con fruta rechazada regresa a la báscula. | Postcondición: el peso de salida queda almacenado.;Must;Verificación: Todo vehículo con fruta rechazada tiene un peso de salida registrado en el sistema.
R-039;Registro de guía de remisión del vehículo;Función: registrar si el vehículo cuenta con guía de remisión, dado que es un documento exigido por ley para el transporte.;Basculero;Entrada: indicación de presencia o ausencia de guía de remisión. Salida: registro asociado al vehículo.;Precondición: el vehículo se encuentra en recepción. | Postcondición: el estado de la guía de remisión queda registrado.;Should;Verificación: El sistema almacena el estado de la guía de remisión para cada vehículo recibido.
R-040;Entrega física del tiquete al chofer o productor;Función: la entrega o impresión del tiquete para el chofer o productor presente en el centro de acopio.;Sistema interno de la empresa;Entrada: tiquete generado. Salida: tiquete físico entregado al chofer o productor.;Precondición: el tiquete fue emitido. | Postcondición: el tiquete queda en poder del chofer o productor.;Must;Verificación: Se genera una copia física o entregable del tiquete por cada proceso de pesaje completado.
R-041;Registro de proyección de recepción y procesamiento de la extractora;Función: registrar la proyección de toneladas que la extractora puede recibir y procesar, considerando su límite de capacidad.;Supervisor de técnicos agrícolas;Entrada: capacidad de procesamiento, proyecciones de recepción. Salida: registro de proyección de la extractora.;Precondición: se conoce el límite de capacidad de la extractora. | Postcondición: la proyección queda registrada en el sistema.;Should;Verificación: El sistema almacena una proyección de recepción y procesamiento actualizable por la extractora.
R-042;Clasificación de madurez del racimo por desprendimiento;"Función: Estimar la madurez de un racimo desde una fotografía de su parte basal usando el conteo de frutos desprendidos y el umbral de la variedad; no usar el color del fruto.";Técnico de la extractora / Cosechador;Entrada: fotografía basal del racimo y variedad. Salida: madurez estimada (verde, maduro o sobremaduro), nivel de confianza y explicación.;Precondición: lote con variedad asignada. | Postcondición: estimación asociada a racimo, lote y fecha.;Must;"Verificación: Para híbrido, menos de 5 frutos desprendidos indica verde y 5 o más maduro; para guineensis, aplicar el umbral de 3 frutos."
R-043;Captura del peso bruto en la báscula de ingreso;Función: Registrar el peso bruto del vehículo cargado obtenido en la báscula de ingreso y asociarlo a la recepción abierta.;Basculero;Entrada: recepción y peso bruto. Salida: recepción con peso bruto registrado.;Precondición: recepción abierta sin peso bruto. | Postcondición: peso bruto asociado antes de la descarga.;Must;"Verificación: Registrado el peso bruto en una recepción abierta, asociarlo a ella; un segundo registro se conserva como corrección junto con el valor anterior."
R-044;Calificación del tamaño de la fruta;Función: Registrar en cada entrega una única categoría de tamaño: grande, mediana o pequeña.;Técnico de extractora;Entrada: categoría de tamaño. Salida: entrega con tamaño registrado.;Precondición: recepción evaluada. | Postcondición: categoría almacenada en la calificación.;Should;Verificación: La entrega conserva exactamente una de las tres categorías y no admite dos simultáneas.
R-045;Registro de longitud de pedúnculo;Función: registrar la longitud del pedúnculo del racimo para identificar los casos que superen los 5 centímetros en su base.;Operarios de pista;Entrada: longitud del pedúnculo medida. Salida: alerta u observación cuando la longitud supera el límite.;Precondición: el racimo está siendo evaluado en pista. | Postcondición: se genera una observación si la longitud excede el límite.;Should;Verificación: El sistema marca una observación cuando la longitud de pedúnculo registrada es mayor a 5 cm.
R-046;Registro de peso promedio de racimos por la hacienda;Función: a la hacienda registrar el peso promedio de los racimos cosechados, para que la extractora lleve un histórico de producción.;Hacienda / productor;Entrada: peso promedio de racimos. Salida: registro de peso promedio vinculado a la finca y fecha.;Precondición: la hacienda dispone del peso promedio estimado. | Postcondición: el dato queda incorporado al histórico de la finca.;Should;Verificación: El sistema mantiene un histórico consultable de peso promedio de racimos por finca y por fecha.
R-047;Control de la ventana entre corte y entrega;Función: Registrar fecha y hora de corte por lote, calcular el tiempo hasta la entrega en la extractora y advertir cuando supere el valor recomendado para la variedad.;Técnico de la extractora;Entrada: fecha y hora de corte y entrega. Salida: intervalo y advertencia si supera el umbral.;Precondición: cosecha con fecha y hora. | Postcondición: intervalo registrado con el despacho.;Should;Verificación: Con un umbral de 24 horas, una entrega realizada 30 horas después del corte genera una advertencia.
